Altium Designer Pick and Place Locations
C:\Users\gadil\OneDrive\Documents\F1_STEERING\F1_MODULE_PCB_DOC\Project Outputs for F1_MODULE\Pick Place for F1_MODULE.csv

========================================================================================================================
File Design Information:

Date:       20/11/25
Time:       12:56
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D5","CMS06(TE12L,Q,M)","TopLayer","FP-M-FLAT-MFG","29.8450","18.4658","90","DIODE SCHOTTKY 30V 2A MFLAT"
"D6","SMBJ17CA","TopLayer","SMBJSeries_LTF","25.7556","14.3510","90","DO-214AA SMB SMBJ Surface Mount 1 Zener Tvs Diode 18.9V 21.7A 600W -55C~150C TJ"
"U4","TL1963A-33DCYR","TopLayer","DCY0004A_N","33.7566","6.6040","270","Single Output Low Noise LDO, 1.5 A, Fixed 3.3 V Output, 2.1 to 20 V Input, 4-pin SOT-223 (DCY), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"Y1","ABM3BAIG-8.000MHZ-1Z-T","TopLayer","FP-ABM3BAIG-MFG","24.1554","22.5552","270","CRYSTAL 8.0000MHZ 18PF SMD"
"J9","61300311121","TopLayer","61300311121","37.4396","26.5176","270","CONN HEADER VERT 3POS 2.54MM"
"J8","61300311121","TopLayer","61300311121","4.8260","26.0350","90","CONN HEADER VERT 3POS 2.54MM"
"C13","EMK212BB7106KG-T","TopLayer","FP-0805-L_2_0_0_2-W_1_25-MFG","33.6042","12.7508","90","CAP CER 10UF 16V X7R 0805"
"C7","EMK212BB7106KG-T","TopLayer","FP-0805-L_2_0_0_2-W_1_25-MFG","31.4198","12.7762","90","CAP CER 10UF 16V X7R 0805"
"C4","CC0603KRX5R7BB475","TopLayer","FP-CC0603-DA-MFG","36.3728","12.0904","90","CAP CER 4.7UF 16V X5R 0603"
"C3","TMK105B7104KVHF","TopLayer","FP-0402-L_1_0_0_05-W_0_5-MFG","32.6136","20.0228","270","0.1 µF ±10% 25V Condensatori ceramici X7R 0402 (1005 metrico)"
"C2","TMK105B7104KVHF","TopLayer","FP-0402-L_1_0_0_05-W_0_5-MFG","27.0942","18.9738","180","0.1 µF ±10% 25V Condensatori ceramici X7R 0402 (1005 metrico)"
"R11","RC0402JR-0710KL","TopLayer","FP-RC0402-0_4-MFG","4.1910","45.7708","0","RES 10K OHM 5% 1/16W 0402"
"J6","22-28-4121","BottomLayer","12_POS_2.54MM_MOLEX","1.9050","36.1950","90","KK 254 Breakaway Header, Vertical, 12 Circuits, Tin (Sn) Plating, Mating Pin Length 8.13mm"
"U3","SN65HVD232QDRQ1","TopLayer","CAN_IC","14.7574","15.2654","270","Texas Instruments - SN65HVD232QDRQ1 - Can Bus, Transceiver, Can, 1, 1, 3 V, 3.6 V, SOIC"
"U2","MP2313GJ-P","TopLayer","TSOT23-8_MP2313_MNP","34.2900","41.2750","90","Switching Voltage Regulators High Effic 1A,24V, 2MHz Syn StepDw Conv"
